,Symbol,Description
0,AACG,Ata Creativity Global
1,AAL,American Airlines Gp
2,AAME,Atlantic Amer Cp
3,AAOI,Applied Optoelect
4,AAON,Aaon Inc
5,AAPL,Apple Inc
6,AAWW,Atlas Air Ww
7,AAXJ,All Country Asia Ex Japan Ishares MSCI ETF
8,AAXN,Axon Inc
9,ABCB,Ameris Bancorp
10,ABEO,Abeona Therapeutics
11,ABIO,Arca Biopharma Inc
12,ABMD,Abiomed Inc
13,ABTX,Allegiance Banc CS
14,ABUS,Arbutus Biopharma Cp
15,ACAD,Acadia Pharmaceutica
16,ACAM,Acamar Partners Acquisition Corp Cl A
17,ACAMU,Acamar Partners Acquisition Corp Units
18,ACAMW,Acamar Partners Acquisition Corp WT
19,ACBI,Atlantic Capital
20,ACER,Acer Therapeutics Inc
21,ACGL,Arch Capital Grp Ltd
22,ACGLO,Arch Capital Group Ltd ADR
23,ACGLP,Arch Capital Group Ltd
24,ACHC,Acadia Healthcr Company
25,ACHV,Achieve Life Sciences Inc
26,ACIA,Acacia Communica
27,ACIU,AC Immune S.A.
28,ACIW,Aci Worldwide Inc
29,ACLS,Axcelis Tech Inc
30,ACMR,Acm Research Inc
31,ACNB,Acnb Corp
32,ACOR,Acorda Therapeutics
33,ACRS,Aclaris Therapts
34,ACRX,Acelrx Pharmaceutica
35,ACST,Acasti Pharma
36,ACT,Advisorshares Vice ETF
37,ACTG,Acacia Res-Acacia
38,ACTT,Act II Global Acquisition Corp Cl A
39,ACTTU,Act II Global Acquisition Corp Unit
40,ACTTW,Act II Global Acquisition Corp WT
41,ACWI,ACWI Ishares MSCI ETF
42,ACWX,ACWI Ex US Ishares MSCI ETF
43,ADAP,Adaptimmune Ther Ads
44,ADBE,Adobe Systems Inc
45,ADES,Advanced Emissions Solutions Inc
46,ADI,Analog Devices
47,ADIL,Adial Pharmaceuticals Inc
48,ADILW,Adial Pharmaceuticals Inc WT
49,ADMA,Adma Biologics
50,ADMP,Adamis Pharmaceuticl
51,ADMS,Adamas Pharma
52,ADP,Automatic Data Procs
53,ADPT,Adaptive Biotechnologies Corp
54,ADRE,Bldrs Emerging Markets 50 ADR Index Fund Invesco
55,ADRO,Aduro Biotech
56,ADSK,Autodesk Inc
57,ADTN,Adtran Inc
58,ADUS,Addus Homecare Corp
59,ADVM,Adverum Biotechnlgs
60,ADXN,Addex Therapeutics Ltd ADR
61,ADXS,Advaxis Inc
62,AEGN,Aegion Corp
63,AEHR,Aehr Test Systems
64,AEIS,Advanced Energy
65,AEMD,Aethlon Medical
66,AERI,Aerie Pharmaceuticals
67,AESE,Allied Esports Entertainment Inc
68,AEY,Addvantage Techs Group
69,AEYE,Audioeye Inc
70,AEZS,Aeterna Zentaris
71,AFH,Atlas Financial Hlds
72,AFIN,American Finance Trust Inc Cl A
73,AFINP,American Finance Trust Inc Pfd Ser A
74,AFMD,Affimed N.V.
75,AFYA,Afya Ltd Cl A
76,AGBA,Agba Acquisition Ltd
77,AGBAR,Agba Acquisition Ltd Right
78,AGBAU,Agba Acquisition Ltd Unit
79,AGBAW,Agba Acquisition Ltd WT
